Sample	PC1	PC2	PC3	PC4	PC5	Celltype..Original.	Consortia	Library	CellType..Condensed.
R_ENCBS984JKS	-0.0711123471748684	0.0580874764758133	-0.14054785903463	0.00148746769058776	-0.0211244288345858	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS122USS	-0.0728747948939852	0.0512969225737002	0.015948730897587	-0.0659583260252055	0.0669618120499449	Right Lung	Roadmap	Single	Lung
R_ENCBS020XIW	-0.0711917275098981	0.0584344732132557	-0.131990161716625	-0.00653166618213972	-0.0158992260136211	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS897YOR	-0.0709882124085845	0.0551615913644231	-0.146076725680998	-0.011622303829259	-0.0336703143094201	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS484BGT	-0.0710740622928359	-0.0109077202252373	-0.00551042607063396	-0.0754065477588929	0.0415717208091875	Thymus	Roadmap	Single	Thymus
E_293AAA	-0.0643997558286995	-0.00650580928924022	0.0509691315881271	0.152935755413313	0.105563538530856	H7-Hesc	ENCODE	Single	H7-Hesc
E_372AAA	-0.067640194013464	0.0112468442089678	-0.00721132954598733	0.169650859916245	0.0218089508980551	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
B_S00XUN11	-0.0660129407895883	-0.109442400433824	-0.00615379894658612	-0.0352085197565238	0.0458543374772711	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_C0010KB1	-0.0619937585885526	-0.119464560345427	-0.0150058819584262	-0.0481636490211116	-0.0433144103729821	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
R_ENCBS119WRO	-0.0696733715563215	0.02456658582205	0.0322988599103926	0.0426335521815031	0.00862969308247608	Adrenal Gland	Roadmap	Single	Kidney
E_310EYM_210YNQ	-0.0657872067537687	0.0360801452098876	-0.00697620430753966	0.0208676783049497	0.00606610282398634	Uterus	ENCODE	Paired	Uterus
R_ENCBS611ZBY	-0.0709518246306713	0.0503141612868222	-0.149076973523979	-0.011452278178622	-0.0334432623776146	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS586CPQ	-0.0706384310167877	0.0587523629871486	-0.140046686988866	-0.0144664619458764	-0.00926720616157876	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
E_236AFP_140MNV	-0.067104528899929	0.0173853165416465	-0.0646822192623983	0.172623615216945	-0.0215198422610245	Myotube	ENCODE	Single	Myotube
B_S013PY11	-0.0655573126789391	-0.110487634503112	-0.00282965542538625	-0.0302528033385792	0.0435567811675283	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
E_624WYQ_702NUN	-0.0698243831540615	0.0351122760297956	0.0414529689177503	0.00909633776488112	0.025975398159091	Thyroid Gland	ENCODE	Paired	Thyroid Gland
R_ENCBS507RPJ	-0.0509372670223842	0.0245918745965067	0.0230212430910734	-0.129865832506524	-0.154945312517631	Pancreas	Roadmap	Single	Pancreas
E_174MRL_767MGS	-0.0561362993622884	0.0141443388264236	0.0738521622146182	-0.0154947601733658	-0.129360082276172	Transverse Colon	ENCODE	Paired	Transverse Colon
E_197JOA_315DHM	-0.0643136345047326	0.029420611575576	0.0225116122865843	0.0320579873745611	0.0937724194537884	Testis	ENCODE	Paired	Testis
R_ENCBS588ZWT	-0.0705296082052995	0.0324078284658468	0.0556516701649882	-0.0524079458706439	-0.133821816438574	Large Intestine	Roadmap	Single	Intestine
B_S00BYT11	-0.0643343140154456	-0.105339528481421	-0.00743287142864065	-0.011670192504526	-0.0557550812294359	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
B_C0066P12	-0.0629140074694589	-0.11075570585712	-0.004932204637514	-0.0209065097382988	0.0223430115485931	Cd8-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
R_ENCBS336CDQ	-0.0705066591337993	0.0318442296705569	-0.041467150083347	0.0705179575690354	-0.00152709443051254	Skin Fibroblast	Roadmap	Single	Fibroblast
E_279OPH_711CPB	-0.0701008634843771	0.0432309740835019	0.0364281527233772	-0.00109754252668195	-0.00339482116276535	Ovary	ENCODE	Paired	Ovary
E_423TBO_548ULT	-0.0698493527999221	0.0217252703068053	0.00443948844681244	0.0194051591121372	-0.0102429918468897	Adrenal Gland	ENCODE	Paired	Intestine
E_869RCC_231OMQ	-0.067871967491787	0.0160485906718659	-0.0771877826398181	0.148156551862122	-0.00528753129274391	Lhcn-M2	ENCODE	Single	Lhcn-M2
R_ENCBS948PMG	-0.0709695715027502	-0.00723882497005209	0.000621113804108731	-0.0769949701702212	0.0447815690045207	Thymus	Roadmap	Single	Thymus
E_074ENC_911DVL_753AAA_754AAA	-0.0689474492548748	-0.00275019695126215	-0.00899390986833054	0.152916423199699	0.00571493685526296	Foreskin Fibroblast	ENCODE	Single	Fibroblast
R_ENCBS099OIO	-0.0715446690907134	0.0580906570096747	-0.130899106703329	0.008554984787669	-0.0174524289936136	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS615YKY	-0.070750117040438	0.0455531230456065	0.0772048650402317	-0.0689088458237462	-0.107126544815463	Small Intestine	Roadmap	Single	Intestine
E_409AIP_174MRL	-0.0659473229335263	0.0171008661720165	0.0933583535375451	0.00409519289074208	-0.135325997262395	Transverse Colon	ENCODE	Paired	Transverse Colon
E_111ENC_780AAA_716AAA_051SJH_731AAA_734AAA_733AAA_732AAA	-0.0626028695412737	-0.0211120193441788	0.0454690538085468	0.124771982820743	0.0748869531158726	H1-Hesc	ENCODE	Single	H1-Hesc
B_S00BXV11	-0.0654002235011423	-0.104106129721478	-0.0068409047029326	-0.000893178296054579	-0.0546321313203404	Macrophage	Blueprint	Single	Macrophage
E_477CHZ_628ENC_626ENC	-0.0619315102454918	-0.120148136212671	-0.0154924721867569	-0.0469257960176239	-0.044777865199096	Cd14-Positive Monocyte	ENCODE	Single	Monocyte
R_ENCBS345TTL	-0.070555635540479	0.0580418743975395	-0.142327716192721	-0.0178221943270465	-0.0141118032766206	Muscle Of Back	Roadmap	Single	Muscle Of Back
E_077RUJ	-0.0689508165567242	0.0338535807778486	0.124794702672207	0.112557446907869	-0.088208947410867	Hepatocyte	ENCODE	Paired	Hepatocyte
B_S005EJ11	-0.0647129838677176	-0.114713390437497	-0.0064407582576082	-0.0282768198905955	0.0415221836025111	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS645JEU	-0.0713849777914424	0.0307628625180506	0.0172247308173395	0.00517668350066535	0.0875570247551526	Ovary	Roadmap	Single	Ovary
R_ENCBS054WKY	-0.0703298955217289	0.0604541746187678	-0.143204331681473	-0.00705530770368219	-0.0101633113590969	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
B_S00XWJ11	-0.0637253419371598	-0.120936365265552	-0.0097078507558388	-0.0388599943385086	-0.0032386900601999	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_C005PS12	-0.0600404359670925	-0.119559552869618	-0.0160104620697203	-0.0393595031261533	-0.0489992674036265	Cd14-Positive, Cd16-Negative Classical Monocyte	Blueprint	Paired	Monocyte
R_ENCBS917VNB	-0.0740999607678798	0.0415998231862327	-0.0103824926831762	-0.0594432531142203	0.0196931641548203	Right Lung	Roadmap	Single	Lung
B_S00D0F11	-0.0656603236673922	-0.114887039166354	-0.0056563985332915	-0.0262316849112696	0.035153396079726	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS026RJE	-0.0739973043696341	0.0526258335376937	0.0508795390011666	-0.0465535190190891	0.0787797735971731	Renal Cortex Interstitium 	Roadmap	Single	Kidney
R_ENCBS620YJZ	-0.0728001924424971	0.0609347169809993	0.060936835621959	-0.0442466644090154	0.0887231681636664	Renal Cortex Interstitium 	Roadmap	Single	Kidney
B_C0011IB1	-0.0615882266318107	-0.121483868721266	-0.0158399910367837	-0.044439717950135	-0.0460509561765074	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
R_ENCBS914JTX	-0.058839780335512	0.0266140759750484	0.0425882773455317	-0.0929778243339762	-0.135414981831492	Pancreas	Roadmap	Single	Pancreas
B_S00CYP11	-0.0664318866392734	-0.109200061451587	-0.00139536190948064	-0.0224933883431811	0.0479464143120683	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS180EDA	-0.0711778961461847	0.0326638418060213	-0.0421791355426667	0.070565869595943	0.000856065985604105	Skin Fibroblast	Roadmap	Single	Fibroblast
B_S008H111	-0.0640359270338477	-0.10267769286202	-0.00233798733874	-0.0248287253832112	0.0369461692213003	Cd4-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
R_ENCBS448HVV	-0.072856017900609	0.054885348969066	0.0642432026859327	-0.070604403278906	0.079989417727589	Renal Cortex Interstitium 	Roadmap	Single	Kidney
R_ENCBS143LJK	-0.0727331166598176	0.0534550280326656	0.0210450768696165	-0.0685219962367915	0.0572058266018789	Left Lung	Roadmap	Single	Lung
B_S00CWT11	-0.066685221933855	-0.105743326363442	-0.000303447516077013	-0.0263213140686374	0.0516045878856247	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_S00B0N11	-0.0637591115010177	-0.0993317853458911	0.000598425534791815	-0.0378951466366556	0.0466357029685469	Chronic Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
R_ENCBS992XAC	-0.0700470265341183	0.0478344958785267	-0.148771588015157	-0.0126887069666387	-0.0630241395833352	Muscle Of Trunk	Roadmap	Single	Muscle Of Trunk
R_ENCBS180RZG	-0.0707868928509845	0.0627396923781499	-0.127462488424846	-0.0154919842167927	-0.00318505224378715	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
R_ENCBS754TWW_ENCBS048TNH	-0.0568040764890928	0.0345314971699864	-0.0224845723160255	0.0555438459638884	0.000156522942268658	Imr-90	Roadmap	Single	Imr-90
R_ENCBS143XQJ	-0.0719556041869195	0.0582595825403373	-0.122372619021367	-0.0077369624633785	-0.0109939749799312	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS529UES	-0.0710723576305698	0.0483404552760726	0.0803581582932649	-0.0634863659416383	-0.103037018611265	Small Intestine	Roadmap	Single	Intestine
B_S005FH11	-0.0664207411280974	-0.10998100584191	-0.0003450883838515	-0.0214130851411765	0.0458899254689149	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS785KTZ	-0.0738838697730915	0.053975792584328	0.0533775059078063	-0.0454563720373662	0.0709621145080663	Renal Pelvis	Roadmap	Single	Kidney
R_ENCBS434EOI	-0.0732493770040172	0.0545943824927915	0.0623825531400357	-0.0618420740362576	0.078333473511366	Kidney	Roadmap	Single	Kidney
R_ENCBS291NHF	-0.0675528242775661	0.0681272974507047	0.0403865554355561	-0.0528293383871079	-0.0262088813237871	Stomach	Roadmap	Single	Stomach
R_ENCBS172XKB	-0.0692597020955018	0.0589071671141328	-0.0676706490076238	-0.00930870813723841	0.00366260632707503	Heart	Roadmap	Single	Heart
B_S00HTF11	-0.0646476429053159	-0.107322885656017	-0.00727640061499581	0.00545782213150559	-0.0608704092355393	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
R_ENCBS599HUG	-0.0726285456389621	0.0191092322239952	-0.0214890405530653	-0.071328958120711	0.0170186828089634	Spleen	Roadmap	Single	Spleen
X4102	-0.0672157272400392	0.0339638689996094	0.121854655833969	0.113715145136809	-0.0985727345422244	Hepatocyte	DEEP	Paired	Hepatocyte
X4125	-0.0685211902601735	0.0350859585002543	0.125476995864203	0.106199223876822	-0.0777868830293328	Hepatocyte	DEEP	Paired	Hepatocyte
R_ENCBS421OZO	-0.0731611026309213	0.0521782858832054	0.0223740579780236	-0.0509740769035639	0.066906221465534	Right Lung	Roadmap	Single	Lung
B_S00Y1311	-0.0650825591509063	-0.117731466571047	-0.0106097981612333	-0.0381633507572753	-0.00244420555171432	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_S00CS011	-0.0659497451566467	-0.101225213279066	-0.00387159494931276	-0.0106135750070814	-0.0483180087619769	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
R_ENCBS246MHN	-0.0727307963357172	0.0413189762193657	0.0347780527959032	-0.0425997936748903	-0.10249923824469	Stomach	Roadmap	Single	Stomach
R_ENCBS699KFK	-0.0695254719422253	0.0418113778413586	0.0904798883425155	-0.0784478140089419	-0.132141042794449	Large Intestine	Roadmap	Single	Intestine
E_234AAA	-0.0673221421043189	0.0156707856798081	-0.0738770964328932	0.147249477910981	-0.00184441857934475	Lhcn-M2	ENCODE	Single	Lhcn-M2
B_S013SS11	-0.0650733512293215	-0.115681667965438	-0.00636945853154935	-0.00944782673952073	0.0370996068435286	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS674SNK	-0.0728861046141662	0.0568967029488084	0.063555542644179	-0.0604505000910957	0.0945716780055613	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
B_S00CTZ11	-0.0654867331701134	-0.101642433952437	-0.00461306088676882	0.0134234833523812	-0.0554585333118945	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
R_ENCBS867ILV	-0.0704717778902567	0.0411477118317246	0.0899725386814806	-0.0700537134145691	-0.117854657867303	Large Intestine	Roadmap	Single	Intestine
B_S00Y6U11	-0.0652913027049603	-0.118625716613504	-0.00606313801132663	-0.0228597667618289	0.01854024274026	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS796DWQ	-0.0738906217974186	0.0384310387271507	0.0153687033870924	-0.00896982686962642	0.0333390211183505	Testis	Roadmap	Single	Testis
R_ENCBS341OKA	-0.0681042068155388	0.0249676525682858	-0.0238743563007918	-0.0556839954343153	-0.0376487348064071	Ovary	Roadmap	Single	Ovary
X4116	-0.0653198026094445	0.0401422725299899	0.126796595613053	0.13218775264047	-0.0930232136096713	Hepatocyte	DEEP	Paired	Hepatocyte
B_S00D5511	-0.0650814160954046	-0.114533426325348	-0.00681994961051578	-0.0299521782496575	0.0386230302815809	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS263ZZU	-0.0723870497263221	0.0557651621493635	0.0688891384097194	-0.0720857443173334	0.062428499247294	Kidney	Roadmap	Single	Kidney
R_ENCBS159PIU	-0.0733353407718548	0.0385176622136572	0.0386827605123556	-0.0549928120045483	-0.0592382937599795	Stomach	Roadmap	Single	Stomach
X4111	-0.0687165344630874	0.0333405845315628	0.12401114341563	0.11381115175148	-0.0869755529995751	Hepatocyte	DEEP	Paired	Hepatocyte
E_852WTL_483ENC	-0.0618778215855523	-0.0872561769045239	0.004896658284855	-0.0233569770696277	0.0428677519138218	B Cell	ENCODE	Single	B Cell
B_S00HSH11	-0.0639376183811619	-0.109025987887121	-0.00906384910772035	-0.00657727602591316	-0.0578397962179314	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
R_ENCBS376PWL	-0.0732716274466111	0.0521880063691782	0.0593174304904215	-0.0662197594842979	0.0901444436214287	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
R_ENCBS262QPN	-0.073258720482521	0.0528244133760908	0.061263490032194	-0.0611552999048683	0.0871063387459307	Renal Pelvis	Roadmap	Single	Kidney
E_328AAA	-0.0683362855603729	0.0159867305976786	-0.058837387031765	0.167112555155319	-0.0252487726940478	Skeletal Muscle Myoblast	ENCODE	Single	Skeletal Muscle Myoblast
R_ENCBS478OZL	-0.0734284666697114	0.0542347196422718	0.059690796427041	-0.0532121022811768	0.0882954655250611	Kidney	Roadmap	Single	Kidney
R_ENCBS993PWO	-0.0721005851874499	0.0566186867367094	0.0219865676239523	-0.0557306742310227	0.0679227161957068	Right Lung	Roadmap	Single	Lung
