Sample	PC1	PC2	PC3	PC4	PC5	Celltype..Original.	Consortia	Library	CellType..Condensed.
R_ENCBS984JKS	0.0711029545553857	-0.0783452699959622	0.0625361924609251	-0.0588217258954855	0.0765017068762851	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS122USS	0.0731880517543007	-0.053551692370487	0.0130750742061239	0.0575590929124301	-0.0362476574210128	Right Lung	Roadmap	Single	Lung
R_ENCBS020XIW	0.0712926174610925	-0.0752060845072827	0.0579838908987002	-0.051773956457814	0.0686562527945521	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS897YOR	0.0710673955502155	-0.078229095320466	0.0598923085922798	-0.0566320404841528	0.0804271972457099	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS484BGT	0.0713504305181704	0.00528262355814076	0.046535369427982	0.0770161120342678	0.0186756687418691	Thymus	Roadmap	Single	Thymus
E_293AAA	0.0654774949278102	0.00830139893593908	0.00995011425765246	-0.0700700122045807	-0.131091533286496	H7-Hesc	ENCODE	Single	H7-Hesc
E_372AAA	0.0668627177217353	0.00822856301585592	0.00672002222139548	-0.161622986825647	-0.0710258607532903	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
B_S00XUN11	0.0666939261361088	0.105899494509432	0.0501727868713027	0.0277747287714031	-0.0692131370190842	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_C0010KB1	0.0630779280345779	0.12307187363561	0.0266579943401255	0.0328978991150143	0.0753299432791303	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
R_ENCBS119WRO	0.0703948823598615	-0.0241066639180887	-0.0218346427081343	0.0110957454505354	0.0230947760609925	Adrenal Gland	Roadmap	Single	Kidney
E_310EYM_210YNQ	0.0647701929207848	0.0179224560068575	-0.0175585409715548	-0.0613666574333701	-0.0471016534737265	Uterus	ENCODE	Paired	Uterus
R_ENCBS611ZBY	0.0709503372738238	-0.0737118786505577	0.060890948029226	-0.0563505284391473	0.0828371273869307	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS586CPQ	0.0712719934846461	-0.0714720348211933	0.0602509294712578	-0.054099441539796	0.0666963871933043	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
E_236AFP_140MNV	0.0668538072010934	-0.00854901238135443	0.0145324407029093	-0.196047520255859	-0.0211284031831305	Myotube	ENCODE	Single	Myotube
B_S013PY11	0.0656822017143855	0.103681255963123	0.0423193387912299	0.0262622119971263	-0.0787503895987312	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
E_624WYQ_702NUN	0.0673570582138718	0.0203023899293502	-0.0444774829314076	-0.0442713400090704	-0.0992396426000055	Thyroid Gland	ENCODE	Paired	Thyroid Gland
R_ENCBS507RPJ	0.0589126942952885	-0.033443521789126	-0.0558228608333583	0.0505486735728644	0.00975598267663206	Pancreas	Roadmap	Single	Pancreas
E_174MRL_767MGS	0.0577570223293063	0.0151968581590621	-0.0659320533204629	0.0194075864831251	-0.0682299266619721	Transverse Colon	ENCODE	Paired	Transverse Colon
E_197JOA_315DHM	0.0632818851908462	0.0180199954490031	-0.00904601558038396	-0.0431682585127688	-0.122430106664127	Testis	ENCODE	Paired	Testis
R_ENCBS588ZWT	0.0700791873456836	-0.0619996261464458	-0.0329163909135865	0.0756414886666616	0.0155273039459255	Large Intestine	Roadmap	Single	Intestine
B_S00BYT11	0.0654634979290613	0.0829525287625929	0.0144308793456935	0.0396027243669085	0.143853610844291	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
B_C0066P12	0.0632349224832652	0.102723523528583	0.036705617412478	0.0278055689459015	-0.0334442508312812	Cd8-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
R_ENCBS336CDQ	0.0703249472994449	-0.0487700394385741	0.0324472881694389	-0.0715154775064708	0.00607668389303938	Skin Fibroblast	Roadmap	Single	Fibroblast
E_279OPH_711CPB	0.0679511040991238	0.0131582773155249	-0.0445218328635099	-0.0396595146263786	-0.0842455302189165	Ovary	ENCODE	Paired	Ovary
E_423TBO_548ULT	0.066691698666353	0.0138182283558186	-0.0432519187244117	-0.0770850768718711	-0.0439287422998504	Adrenal Gland	ENCODE	Paired	Intestine
E_869RCC_231OMQ	0.0672078514365825	-0.00384479122949084	0.0205942391756301	-0.18411310115536	-0.0235218979104826	Lhcn-M2	ENCODE	Single	Lhcn-M2
R_ENCBS948PMG	0.0715186868610492	0.00615726253975842	0.0369040811932433	0.0787858787250079	0.015659614760037	Thymus	Roadmap	Single	Thymus
E_074ENC_911DVL_753AAA_754AAA	0.0683158341760556	-0.00887726080672087	0.00316825281780772	-0.139957767079662	-0.0546767973388577	Foreskin Fibroblast	ENCODE	Single	Fibroblast
R_ENCBS099OIO	0.0713387875480783	-0.0779435187394242	0.059807217568489	-0.0579315607658132	0.0729723638139122	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS615YKY	0.0711820651153204	-0.0515550300993696	-0.040166994166416	0.0878315745907658	-0.00722721790949767	Small Intestine	Roadmap	Single	Intestine
E_409AIP_174MRL	0.0644911754250858	0.0270949110003607	-0.0787500575387386	-0.00111674455002894	-0.0730542437962762	Transverse Colon	ENCODE	Paired	Transverse Colon
