Sample	PC1	PC2	PC3	PC4	PC5	Celltype..Original.	Consortia	Library	CellType..Condensed.
R_ENCBS984JKS	0.11383791943844	-0.0954322353234691	0.0337833134521078	-0.00168801079856339	0.0489325464235603	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS122USS	-0.0124406109137675	-0.0505014258967889	-0.0222869331166586	0.099857746626107	-0.217339358272645	Right Lung	Roadmap	Single	Lung
R_ENCBS020XIW	0.110087765562273	-0.061362160008782	0.0434922864263978	0.036214811769046	0.0548923893906209	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS897YOR	0.116665919331561	-0.0931845641468469	0.023713385155427	-0.00152486084849795	0.072813851168097	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS484BGT	0.053432370023616	0.0774531710438063	-0.0278308746286857	-0.023702584561328	0.00469781812350156	Thymus	Roadmap	Single	Thymus
E_293AAA	-0.0264179205425989	0.0707660719988403	-0.0185710837690831	-0.0191163173294068	0.03437032482711	H7-Hesc	ENCODE	Single	H7-Hesc
E_372AAA	-0.026827871372288	-0.00442791771885963	-0.040024337769132	-0.029814433434619	-0.0952911913020034	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
B_S00XUN11	0.0272012109278617	0.122849812440889	0.0387318132454355	0.0542603224892452	-0.00459286131193581	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_C0010KB1	0.0577373710651414	-0.00645639786776497	0.0302149332682746	-0.0640597672108928	0.0116095693515566	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
R_ENCBS119WRO	0.0240395220808568	0.0904255675634855	-0.00591260268549949	0.0887192065328624	0.00920559798668498	Adrenal Gland	Roadmap	Single	Kidney
E_310EYM_210YNQ	-0.039314592727938	-0.104047425948876	0.00693958888814281	0.0254227663568323	-0.0610103739817998	Uterus	ENCODE	Paired	Uterus
R_ENCBS611ZBY	0.118875020561011	-0.0664458506159195	0.0383784070450254	0.00238916664938621	0.0727639555760177	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS586CPQ	0.114477120918477	-0.0650057492195746	0.0514130562431223	0.0765113945939402	0.0522964014518967	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
E_236AFP_140MNV	-0.0183745643206231	-0.0927495720356037	-0.00433022591147062	-0.0380274911588968	-0.0372184810809511	Myotube	ENCODE	Single	Myotube
B_S013PY11	0.0294545675981292	0.101220186431549	0.0209019766778566	0.0909210329530755	0.0178839836669453	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
E_624WYQ_702NUN	-0.0366877531391622	-0.0834559971394099	-0.00921910826554809	0.105470388113656	0.0398009169010167	Thyroid Gland	ENCODE	Paired	Thyroid Gland
R_ENCBS507RPJ	-0.0397511817189092	-0.0633569238713611	-0.0731276083078561	-0.0601370680787591	0.0609415257476103	Pancreas	Roadmap	Single	Pancreas
E_174MRL_767MGS	-0.0361937387320748	-0.0784059386845441	-0.0819164289417846	0.00211909013436067	0.0724947220563862	Transverse Colon	ENCODE	Paired	Transverse Colon
E_197JOA_315DHM	0.00567944467303874	-0.0547391418356588	-0.0373914141352589	0.110897793352569	0.106544635117688	Testis	ENCODE	Paired	Testis
R_ENCBS588ZWT	-0.0441247508126172	0.00708469519808281	-0.133493577618658	-0.139812619238918	0.0439684930943573	Large Intestine	Roadmap	Single	Intestine
B_S00BYT11	0.096941989171909	0.0131156265133289	0.0289710160971263	-0.0279666616424019	-0.0242872514201453	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
B_C0066P12	0.00654936360703872	0.0221666022145768	0.00562519465532267	0.0103846372293369	-0.038892362554501	Cd8-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
R_ENCBS336CDQ	0.0364018978668288	0.0381587153088759	-0.0709187026410225	-0.0543010828597631	-0.0507351228658493	Skin Fibroblast	Roadmap	Single	Fibroblast
E_279OPH_711CPB	-0.0631095665584385	-0.0965974880481904	-0.0150348820308534	0.0397726196356139	-0.0337258655628581	Ovary	ENCODE	Paired	Ovary
