Sample	PC1	PC2	PC3	PC4	PC5	Celltype..Original.	Consortia	Library	CellType..Condensed.
R_ENCBS984JKS	0.0732818434852035	0.0606021746763776	-0.0430381078968676	0.0446296719919105	-0.000934939295263895	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS122USS	0.0720498641716416	0.0581890049070184	0.028888310923053	0.0523213089611253	0.0597172611603703	Right Lung	Roadmap	Single	Lung
R_ENCBS020XIW	0.0715213851307552	0.0622044306634184	-0.0487568155079702	0.0491538596172981	-0.0143688873186415	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS897YOR	0.0733116405934614	0.0620963921829734	-0.0400422842464505	0.0452554044322601	-0.0035594304531683	Muscle Of Back	Roadmap	Single	Muscle Of Back
R_ENCBS484BGT	0.0636355259462699	-0.0230248741159578	-0.0955201297483463	0.0980363785756025	-0.111428475716069	Thymus	Roadmap	Single	Thymus
E_293AAA	0.0511734459307247	-0.0340937179249518	0.11585188693095	-0.153299018386195	-0.0301129467655758	H7-Hesc	ENCODE	Single	H7-Hesc
E_372AAA	0.0604867212019349	0.0578075823703638	-0.144067255170122	-0.153799401681204	0.0690599492397642	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
B_S00XUN11	0.0669717722153289	-0.122958013418519	-0.0251912588704247	0.0384885513888538	0.0308737845894738	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_C0010KB1	0.0678978349568932	-0.116115212377739	-0.0273697010039674	0.0478048569183854	0.0205267592200058	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
R_ENCBS119WRO	0.0613358925542548	-0.0030124583465917	0.142610360267187	-0.0351710824863972	-0.0524872705874121	Adrenal Gland	Roadmap	Single	Kidney
E_310EYM_210YNQ	0.0662080629373339	0.0219819723814257	-0.0032956335855577	-0.0229989664507435	-0.0649837804348784	Uterus	ENCODE	Paired	Uterus
R_ENCBS611ZBY	0.0731342896065587	0.0609550625252516	-0.0439209457743413	0.0486211409319234	-0.00395992584148452	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS586CPQ	0.0729150379383784	0.0617166469033503	-0.0424412163746994	0.046724323880267	-0.0041201764442591	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
E_236AFP_140MNV	0.0608012838352875	0.0624911410616935	-0.129091988685548	-0.136419200627089	0.0507734135109521	Myotube	ENCODE	Single	Myotube
B_S013PY11	0.0678783401705299	-0.118547860356657	-0.0394902510319098	0.0460099678645234	0.0115981367530161	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
E_624WYQ_702NUN	0.0694899761666259	0.0319461973403425	0.0404924421678591	0.0115062098032779	-0.0295861736106001	Thyroid Gland	ENCODE	Paired	Thyroid Gland
R_ENCBS507RPJ	0.070800876515958	0.0366586424382692	0.0328107382371401	-0.0106598278802488	-0.0631438148866269	Pancreas	Roadmap	Single	Pancreas
E_174MRL_767MGS	0.064181122647799	-0.00859390785636427	-0.0386525383406835	-0.0193435800376579	-0.166088381075661	Transverse Colon	ENCODE	Paired	Transverse Colon
E_197JOA_315DHM	0.0705801731685481	0.0337847706501395	0.0866556315933218	0.0253524486997883	0.00274192688691275	Testis	ENCODE	Paired	Testis
R_ENCBS588ZWT	0.0735116551724181	0.0166466640785741	0.0221592009993069	-0.00957951381310239	-0.100725868011826	Large Intestine	Roadmap	Single	Intestine
B_S00BYT11	0.0648856158067898	-0.100921330700824	0.0240837273272563	-0.0573194077202588	0.0995849514345547	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
B_C0066P12	0.0604551510626505	-0.0758534947480786	-0.121532178542284	0.0361829545680755	-0.136592673234213	Cd8-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
R_ENCBS336CDQ	0.0642084774754186	0.0639084688203183	-0.138515472010105	-0.096763149144509	0.0555076188721963	Skin Fibroblast	Roadmap	Single	Fibroblast
E_279OPH_711CPB	0.071375912557375	0.0479385863450164	0.0475110468332196	0.0308500331350453	-0.0176044235508025	Ovary	ENCODE	Paired	Ovary
E_423TBO_548ULT	0.0634479410286569	-0.00456175657775014	0.13784947581604	-0.0298088775886509	-0.0489880233093163	Adrenal Gland	ENCODE	Paired	Intestine
E_869RCC_231OMQ	0.0627836712395244	0.0532282488091842	-0.117638599748924	-0.0949051368263589	0.00609836926624826	Lhcn-M2	ENCODE	Single	Lhcn-M2
R_ENCBS948PMG	0.0638992032310519	-0.02574847408607	-0.0888396675576161	0.0958152944295442	-0.110400530944968	Thymus	Roadmap	Single	Thymus
E_074ENC_911DVL_753AAA_754AAA	0.0575128956262803	0.0696493645382233	-0.123804781065044	-0.163648616798957	0.119480617669452	Foreskin Fibroblast	ENCODE	Single	Fibroblast
R_ENCBS099OIO	0.0732690810401929	0.0618951311467011	-0.0422648680056928	0.0412946990651195	0.00455069692268081	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
R_ENCBS615YKY	0.0716215646798574	0.0112620729966517	0.0113317933803467	-0.00712271390567698	-0.121117562736749	Small Intestine	Roadmap	Single	Intestine
E_409AIP_174MRL	0.0633342292355941	-0.0129525318220419	-0.0444015122595029	-0.0132980567973041	-0.168657532850076	Transverse Colon	ENCODE	Paired	Transverse Colon
E_111ENC_780AAA_716AAA_051SJH_731AAA_734AAA_733AAA_732AAA	0.0480384201614828	-0.0271406774114405	0.156081257067955	-0.14380495550605	0.00128642553197009	H1-Hesc	ENCODE	Single	H1-Hesc
B_S00BXV11	0.0666663760720311	-0.0971697589566232	0.025284362882438	-0.0528007248272533	0.101569755304593	Macrophage	Blueprint	Single	Macrophage
E_477CHZ_628ENC_626ENC	0.0671644527037677	-0.117296297985795	-0.0243215366091351	0.0490886305807274	0.0138614582698018	Cd14-Positive Monocyte	ENCODE	Single	Monocyte
R_ENCBS345TTL	0.0729914109728774	0.0605612629951711	-0.0432037191213647	0.0483411550300266	-0.00557926082537334	Muscle Of Back	Roadmap	Single	Muscle Of Back
E_077RUJ	0.0699343260433913	0.00739871470663242	0.0514640360591207	-0.125186853804005	-0.0811929529361768	Hepatocyte	ENCODE	Paired	Hepatocyte
B_S005EJ11	0.0673098893764827	-0.122774589368924	-0.0350691004715124	0.0451128315673635	0.023074602280205	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS645JEU	0.0721966830972118	0.0427021237460595	0.0408476533300733	0.033004331772111	-0.00681287806370596	Ovary	Roadmap	Single	Ovary
R_ENCBS054WKY	0.0726522451198554	0.0624264386058975	-0.0455433598752536	0.0483062691039053	-0.00246898585621379	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
B_S00XWJ11	0.0684071643320135	-0.116835621855575	-0.0290668871992	0.0366330313199087	0.0336198922740984	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_C005PS12	0.0663091019882652	-0.109511938595657	-0.0439041357238257	0.0387771571676543	-0.0137064777805807	Cd14-Positive, Cd16-Negative Classical Monocyte	Blueprint	Paired	Monocyte
R_ENCBS917VNB	0.0724771423621782	0.0602210969203649	0.020156434934517	0.050635939885482	0.0541856193776257	Right Lung	Roadmap	Single	Lung
B_S00D0F11	0.0680238800555836	-0.118335872174092	-0.0275848942359701	0.0390816259712637	0.021731253350415	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS026RJE	0.0728399398732972	0.0605684435862527	0.0557374617391342	0.0537653910966858	0.0618475558409268	Renal Cortex Interstitium 	Roadmap	Single	Kidney
R_ENCBS620YJZ	0.0728721361765287	0.0594399273081056	0.0579283716514098	0.0537866450540184	0.061646449489265	Renal Cortex Interstitium 	Roadmap	Single	Kidney
B_C0011IB1	0.0682066280244542	-0.115202310374928	-0.0244632899506056	0.0410270034784444	0.0233911429421123	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
R_ENCBS914JTX	0.0697827774548707	0.0350810294244423	0.0467619630564246	-0.0148009571092306	-0.0619201350110261	Pancreas	Roadmap	Single	Pancreas
B_S00CYP11	0.0685490320072662	-0.115478861998957	-0.030534392958762	0.0456888849199134	0.0041158654404301	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
R_ENCBS180EDA	0.064198001772612	0.0678351477635395	-0.139290189272759	-0.0962830078127705	0.060243520825674	Skin Fibroblast	Roadmap	Single	Fibroblast
B_S008H111	0.0577978654783993	-0.062539158483075	-0.127932297408955	0.0243476640664754	-0.148402739381343	Cd4-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
R_ENCBS448HVV	0.0726122469668254	0.0653513280400942	0.0544636430792746	0.0524229185905839	0.0610524069628464	Renal Cortex Interstitium 	Roadmap	Single	Kidney
R_ENCBS143LJK	0.072110176928039	0.0571019675376836	0.0282657042031283	0.0534893694607239	0.0580302005394826	Left Lung	Roadmap	Single	Lung
B_S00CWT11	0.0685547308798639	-0.114194639917797	-0.0144881599379393	0.0398698746724264	0.0362517891727831	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
B_S00B0N11	0.0544693424105404	-0.0495571928736287	-0.127570659957127	-0.00773148952771258	-0.14055463747535	Chronic Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
R_ENCBS992XAC	0.073349812397985	0.0595387720148338	-0.0258489497788824	0.0523884973312771	-0.0108411439121449	Muscle Of Trunk	Roadmap	Single	Muscle Of Trunk
R_ENCBS180RZG	0.0718025318609396	0.0657980070107638	-0.0471878579602779	0.0469959807329028	0.00119156671045898	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
