dataset	sample	score	ontology	similarity	pca	Celltype..Original.	Consortia	Library	CellType..Condensed.
Original	R_ENCBS984JKS	0.0575660770936873	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS122USS	0.16208608210664	Cosine	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Original	R_ENCBS020XIW	0.0409451150058578	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS897YOR	0.0513022070531247	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS484BGT	-0.439034856049312	Cosine	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Original	E_293AAA	0.417495254070676	Cosine	Pearson	PC 1-4	H7-Hesc	ENCODE	Single	H7-Hesc
Original	E_372AAA	0.311384930196546	Cosine	Pearson	PC 1-4	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
Original	B_S00XUN11	0.286829257872288	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_C0010KB1	-0.117618910585544	Cosine	Pearson	PC 1-4	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
Original	R_ENCBS119WRO	0.122119920105537	Cosine	Pearson	PC 1-4	Adrenal Gland	Roadmap	Single	Kidney
Original	E_310EYM_210YNQ	0.233880096487935	Cosine	Pearson	PC 1-4	Uterus	ENCODE	Paired	Uterus
Original	R_ENCBS611ZBY	0.0628812480642892	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS586CPQ	-0.0324405958350126	Cosine	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	E_236AFP_140MNV	0.428058114085895	Cosine	Pearson	PC 1-4	Myotube	ENCODE	Single	Myotube
Original	B_S013PY11	0.292013943860585	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_624WYQ_702NUN	0.117333414285451	Cosine	Pearson	PC 1-4	Thyroid Gland	ENCODE	Paired	Thyroid Gland
Original	R_ENCBS507RPJ	0.0229089700475829	Cosine	Pearson	PC 1-4	Pancreas	Roadmap	Single	Pancreas
Original	E_174MRL_767MGS	0.178649122902207	Cosine	Pearson	PC 1-4	Transverse Colon	ENCODE	Paired	Transverse Colon
Original	E_197JOA_315DHM	0.257784548186418	Cosine	Pearson	PC 1-4	Testis	ENCODE	Paired	Testis
Original	R_ENCBS588ZWT	-0.181106985863177	Cosine	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Original	B_S00BYT11	-0.0381135521200577	Cosine	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Original	B_C0066P12	0.316975011238206	Cosine	Pearson	PC 1-4	Cd8-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
Original	R_ENCBS336CDQ	-0.160128610582766	Cosine	Pearson	PC 1-4	Skin Fibroblast	Roadmap	Single	Fibroblast
Original	E_279OPH_711CPB	0.307016932248561	Cosine	Pearson	PC 1-4	Ovary	ENCODE	Paired	Ovary
Original	E_423TBO_548ULT	-0.172156303683691	Cosine	Pearson	PC 1-4	Adrenal Gland	ENCODE	Paired	Intestine
Original	E_869RCC_231OMQ	0.416939545686718	Cosine	Pearson	PC 1-4	Lhcn-M2	ENCODE	Single	Lhcn-M2
Original	R_ENCBS948PMG	-0.409502751685026	Cosine	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Original	E_074ENC_911DVL_753AAA_754AAA	0.332726259295579	Cosine	Pearson	PC 1-4	Foreskin Fibroblast	ENCODE	Single	Fibroblast
Original	R_ENCBS099OIO	0.0523718729300642	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS615YKY	-0.196524387394517	Cosine	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Original	E_409AIP_174MRL	0.17136705910596	Cosine	Pearson	PC 1-4	Transverse Colon	ENCODE	Paired	Transverse Colon
Original	E_111ENC_780AAA_716AAA_051SJH_731AAA_734AAA_733AAA_732AAA	0.452619228236405	Cosine	Pearson	PC 1-4	H1-Hesc	ENCODE	Single	H1-Hesc
Original	B_S00BXV11	-0.0357008278220571	Cosine	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Original	E_477CHZ_628ENC_626ENC	-0.127821891745111	Cosine	Pearson	PC 1-4	Cd14-Positive Monocyte	ENCODE	Single	Monocyte
Original	R_ENCBS345TTL	0.033873776177594	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	E_077RUJ	-0.0254114852430248	Cosine	Pearson	PC 1-4	Hepatocyte	ENCODE	Paired	Hepatocyte
Original	B_S005EJ11	0.289112411076657	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS645JEU	-0.295855316601787	Cosine	Pearson	PC 1-4	Ovary	Roadmap	Single	Ovary
Original	R_ENCBS054WKY	0.0632416923064037	Cosine	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	B_S00XWJ11	0.179972406811105	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_C005PS12	0.125405782123898	Cosine	Pearson	PC 1-4	Cd14-Positive, Cd16-Negative Classical Monocyte	Blueprint	Paired	Monocyte
Original	R_ENCBS917VNB	0.184630966883344	Cosine	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Original	B_S00D0F11	0.280720379960221	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS026RJE	-0.0381221754113478	Cosine	Pearson	PC 1-4	Renal Cortex Interstitium 	Roadmap	Single	Kidney
Original	R_ENCBS620YJZ	0.0154855219009532	Cosine	Pearson	PC 1-4	Renal Cortex Interstitium 	Roadmap	Single	Kidney
Original	B_C0011IB1	-0.124301356626977	Cosine	Pearson	PC 1-4	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
Original	R_ENCBS914JTX	0.0380855249949915	Cosine	Pearson	PC 1-4	Pancreas	Roadmap	Single	Pancreas
Original	B_S00CYP11	0.282374714207819	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS180EDA	-0.161348097735123	Cosine	Pearson	PC 1-4	Skin Fibroblast	Roadmap	Single	Fibroblast
Original	B_S008H111	0.307541501629812	Cosine	Pearson	PC 1-4	Cd4-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
Original	R_ENCBS448HVV	-0.0947970118606194	Cosine	Pearson	PC 1-4	Renal Cortex Interstitium 	Roadmap	Single	Kidney
Original	R_ENCBS143LJK	0.262044591667884	Cosine	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_S00CWT11	0.286350888763572	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_S00B0N11	0.293474068207898	Cosine	Pearson	PC 1-4	Chronic Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
Original	R_ENCBS992XAC	0.0276406083723052	Cosine	Pearson	PC 1-4	Muscle Of Trunk	Roadmap	Single	Muscle Of Trunk
Original	R_ENCBS180RZG	0.0584392486648745	Cosine	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	R_ENCBS754TWW_ENCBS048TNH	-0.194509546975917	Cosine	Pearson	PC 1-4	Imr-90	Roadmap	Single	Imr-90
Original	R_ENCBS143XQJ	0.0180136154798495	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS529UES	-0.18948412438212	Cosine	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Original	B_S005FH11	0.280164636643934	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS785KTZ	-0.0210745309949885	Cosine	Pearson	PC 1-4	Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS434EOI	-0.0246089559944685	Cosine	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Original	R_ENCBS291NHF	-0.217123948648008	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	R_ENCBS172XKB	-0.196579388691487	Cosine	Pearson	PC 1-4	Heart	Roadmap	Single	Heart
Original	B_S00HTF11	-0.03935890841335	Cosine	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Original	R_ENCBS599HUG	-0.165728730122625	Cosine	Pearson	PC 1-4	Spleen	Roadmap	Single	Spleen
Original	X4102	0.00197475682731412	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	X4125	-0.00672620842238772	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	R_ENCBS421OZO	0.178388665725854	Cosine	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Original	B_S00Y1311	0.340690303476165	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_S00CS011	-0.0365728228597667	Cosine	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Original	R_ENCBS246MHN	-0.195641742232495	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	R_ENCBS699KFK	-0.163354508447073	Cosine	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Original	E_234AAA	0.420732373253004	Cosine	Pearson	PC 1-4	Lhcn-M2	ENCODE	Single	Lhcn-M2
Original	B_S013SS11	0.275669563632643	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS674SNK	0.0148536728174812	Cosine	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	B_S00CTZ11	-0.038042318722611	Cosine	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Original	R_ENCBS867ILV	-0.165181878967054	Cosine	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Original	B_S00Y6U11	0.312027458138044	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS796DWQ	-0.270323900876885	Cosine	Pearson	PC 1-4	Testis	Roadmap	Single	Testis
Original	R_ENCBS341OKA	0.281585332929193	Cosine	Pearson	PC 1-4	Ovary	Roadmap	Single	Ovary
Original	X4116	-0.00624357195899565	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	B_S00D5511	0.286852592950762	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS263ZZU	0.00360381173070679	Cosine	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Original	R_ENCBS159PIU	-0.187902616024262	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	X4111	-0.00638725762366962	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	E_852WTL_483ENC	0.356461132038459	Cosine	Pearson	PC 1-4	B Cell	ENCODE	Single	B Cell
Original	B_S00HSH11	-0.0449409048167162	Cosine	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Original	R_ENCBS376PWL	-0.0280672398021599	Cosine	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	R_ENCBS262QPN	-0.0798899174005122	Cosine	Pearson	PC 1-4	Renal Pelvis	Roadmap	Single	Kidney
Original	E_328AAA	0.438201661307292	Cosine	Pearson	PC 1-4	Skeletal Muscle Myoblast	ENCODE	Single	Skeletal Muscle Myoblast
Original	R_ENCBS478OZL	-0.0586293317191369	Cosine	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Original	R_ENCBS993PWO	0.166887426999693	Cosine	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Original	B_S00B2J11	0.282542760232413	Cosine	Pearson	PC 1-4	Chronic Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
Original	R_ENCBS384LIR	0.0178091385929259	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS023IXF	0.055355516153973	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	B_S00HRJ11	-0.0379422235175782	Cosine	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Original	E_589ENC_591ENC_818IBE_567ENC_565ENC_569ENC_564ENC_563ENC_586ENC	0.288534226839627	Cosine	Pearson	PC 1-4	Keratinocyte	ENCODE	Single	Keratinocyte
Original	R_ENCBS117CVU	0.161229247499271	Cosine	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	R_ENCBS078XUR	0.184909207798855	Cosine	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_S004BT12	0.45061604698097	Cosine	Pearson	PC 1-4	Cd34-Negative, Cd41-Positive, Cd42-Positive Megakaryocyte Cell	Blueprint	Paired	Megakaryocyte
Original	B_S00CR211	-0.0324376013217834	Cosine	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Original	B_S00Y4Y11	0.294290342173817	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS136SDO	0.00920698631390999	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS623YHX	-0.186298980071814	Cosine	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Original	B_S0022I12	-0.0575160557901081	Cosine	Pearson	PC 1-4	Macrophage	Blueprint	Paired	Macrophage
Original	R_ENCBS133LAN	-0.154835384529505	Cosine	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Original	B_S0022I14	-0.0546366299226291	Cosine	Pearson	PC 1-4	Inflammatory Macrophage	Blueprint	Paired	Inflammatory Macrophage
Original	E_524RBS_291PVB	0.299560108279708	Cosine	Pearson	PC 1-4	Prostate Gland	ENCODE	Paired	Prostate Gland
Original	B_S002S312	0.359747238862913	Cosine	Pearson	PC 1-4	Erythroblast	Blueprint	Paired	Erythroblast
Original	X4101	-0.00296766161268941	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	E_018TPT	0.341024245028871	Cosine	Pearson	PC 1-4	Neural Progenitor Cell	ENCODE	Paired	Neural Progenitor Cell
Original	B_S00JS911	-0.0383714661452958	Cosine	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Original	R_ENCBS383OVQ	-0.206502088588881	Cosine	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Original	X4105	-0.00961220254190774	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	X4104	-0.00885570365781228	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	X4107	-0.0077934122053081	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	X4109	-0.00388565335921759	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	X4108	-0.00641243331705267	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	E_921WWM_472LWI	0.233870592930011	Cosine	Pearson	PC 1-4	Gastrocnemius Medialis	ENCODE	Paired	Muscle Of Leg
Original	R_ENCBS636QOC	-0.058482575712383	Cosine	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	R_ENCBS261IIB	0.0361985494325269	Cosine	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	R_ENCBS445IVN	-0.186941294970361	Cosine	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Original	R_ENCBS890NFL	-0.165748935812134	Cosine	Pearson	PC 1-4	Skin Fibroblast	Roadmap	Single	Fibroblast
Original	R_ENCBS441WEO	-0.13385781020175	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	B_S00DFM11	0.288523101662846	Cosine	Pearson	PC 1-4	Acute Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
Original	E_658GLE_376ASB	0.0933477164041187	Cosine	Pearson	PC 1-4	Thyroid Gland	ENCODE	Paired	Thyroid Gland
Original	E_367AAA	0.321568200556409	Cosine	Pearson	PC 1-4	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
Original	R_ENCBS825MQT	0.0743245851955435	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS105LQM	0.0722067450063561	Cosine	Pearson	PC 1-4	Hindlimb Muscle	Roadmap	Single	Hindlimb Muscle
Original	B_S00CXR11	0.28154017811187	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS198CXJ	-0.406619847003358	Cosine	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Original	R_ENCBS988KQJ	0.0689701153637911	Cosine	Pearson	PC 1-4	Forelimb Muscle	Roadmap	Single	Forelimb Muscle
Original	R_ENCBS467PJB	0.283235124968423	Cosine	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
