Sample	PC1	PC2	PC3	PC4	Batch	Tissue
1	SRR598068_Thyroid	-0.0276967752632962	-0.0160560893074025	0.0278923382126097	0.0176896800710756	gtex	thyroid
2	SRR597952_Thyroid	-0.0276290459670013	-0.0191038539273339	0.0307637072558392	0.0183019474550926	gtex	thyroid
3	SRR598100_Thyroid	-0.0277923332482092	-0.0165695181931886	0.0245746714097256	0.0179334174263195	gtex	thyroid
4	SRR598364_Thyroid	-0.0277363572721522	-0.0172691429185591	0.0256156490704393	0.0199043634961333	gtex	thyroid
5	SRR598565_Thyroid	-0.027831089528701	-0.0163341522109931	0.0238673933990907	0.0155555615679419	gtex	thyroid
6	SRR598645_Thyroid	-0.0276775863466152	-0.0169977265742111	0.0267965668417731	0.0197573632275673	gtex	thyroid
7	SRR599346_Thyroid	-0.0277037214919182	-0.0178060786802345	0.0259569063169513	0.023200537324721	gtex	thyroid
8	SRR599412_Thyroid	-0.0276832579846205	-0.0184571165037849	0.0285230111237382	0.0180953096257335	gtex	thyroid
9	SRR599122_Thyroid	-0.0275532670042277	-0.0158747253465855	0.0299707051351436	0.0169319317894183	gtex	thyroid
10	SRR602389_Thyroid	-0.0277532770835008	-0.0172229688488382	0.0270747011209446	0.0180779854932717	gtex	thyroid
11	SRR601157_Thyroid	-0.0277310799561952	-0.017522983110215	0.0249449846782924	0.0141107180487092	gtex	thyroid
12	SRR601962_Thyroid	-0.0277509970105769	-0.0171901183372976	0.0282226158019927	0.0187285968293358	gtex	thyroid
13	SRR601359_Thyroid	-0.0277450452160592	-0.017692741604708	0.0250376536176424	0.0166962940994031	gtex	thyroid
14	SRR608064_Thyroid	-0.0276664490555471	-0.0164043351716684	0.0229323286310417	0.0157519909188159	gtex	thyroid
15	SRR607679_Thyroid	-0.0277686669907854	-0.0194001983220218	0.0214017033482519	0.00690942370859295	gtex	thyroid
16	SRR601525_Thyroid	-0.0276001681796301	-0.0192013511098892	0.0269832482572772	0.0197670604488482	gtex	thyroid
17	SRR601549_Thyroid	-0.0276458168509171	-0.0185984076031079	0.0287050368404375	0.0171112283020853	gtex	thyroid
18	SRR601843_Thyroid	-0.0277398279798693	-0.0183980994751204	0.0287217300009022	0.0185611447129526	gtex	thyroid
19	SRR607705_Thyroid	-0.0275919582011404	-0.0150479495156164	0.0264766916875593	0.0176505269440848	gtex	thyroid
20	SRR602338_Thyroid	-0.0276928758771633	-0.0178075699507766	0.026715374803863	0.0212930155983169	gtex	thyroid
21	SRR608120_Thyroid	-0.0276494490667978	-0.0171878905015579	0.0271987326431759	0.0186614887202654	gtex	thyroid
22	SRR602951_Thyroid	-0.0276663626891304	-0.014193691318454	0.0191036542451415	0.00842677041784761	gtex	thyroid
23	SRR602978_Thyroid	-0.0276458313053389	-0.0184941355286138	0.0293839066811444	0.0201002291618209	gtex	thyroid
24	SRR603036_Thyroid	-0.0273251532015745	-0.0159627860156222	0.0296168806904652	0.0255875256251931	gtex	thyroid
25	SRR603726_Thyroid	-0.0277323217082502	-0.0166570996516467	0.0257662036202036	0.0189778345740543	gtex	thyroid
26	SRR603834_Thyroid	-0.0276536642306012	-0.0187694633702838	0.0285954303072116	0.0147248853856231	gtex	thyroid
27	SRR604148_Thyroid	-0.0277345236349784	-0.0175905556328615	0.0272996071191624	0.0156892414449485	gtex	thyroid
28	SRR604294_Thyroid	-0.027782566939179	-0.0181710380231573	0.0243771863922181	0.0183231125713548	gtex	thyroid
29	SRR604342_Thyroid	-0.0274904659792222	-0.00959901651935324	0.000223055186108	-0.00137278995803333	gtex	thyroid
30	SRR603268_Thyroid	-0.0276881274255803	-0.019020487176192	0.0277406686598679	0.0158318269972013	gtex	thyroid
31	SRR603942_Thyroid	-0.0276850122269154	-0.0156846691520907	0.0210159703128679	0.0202953410175917	gtex	thyroid
32	SRR608512_Thyroid	-0.0276786904891389	-0.0159687265580657	0.0251959215694085	0.0206277011220514	gtex	thyroid
33	SRR607502_Thyroid	-0.0277263859297423	-0.0177246105053505	0.0265618774430963	0.0158774039898755	gtex	thyroid
34	SRR613402_Thyroid	-0.0276590357020291	-0.0201693440744284	0.0271762372394832	0.0136736792657376	gtex	thyroid
35	SRR614912_Thyroid	-0.0276383154049122	-0.0204393284870471	0.0275895128990348	0.0153337357639522	gtex	thyroid
36	SRR613018_Thyroid	-0.0272997693871818	-0.0166618751454967	0.0222173105850211	0.00674061883212552	gtex	thyroid
37	SRR613258_Thyroid	-0.02767302359955	-0.0196090315415881	0.0308041639297553	0.0177292483133221	gtex	thyroid
38	SRR613795_Thyroid	-0.0276423711309129	-0.01852598009399	0.0300202840712014	0.0193395012656902	gtex	thyroid
39	SRR615285_Thyroid	-0.0274828080939812	-0.0175789284801956	0.0303052983825586	0.01875497247574	gtex	thyroid
40	SRR613975_Thyroid	-0.0276253883237267	-0.0189383587793692	0.0305343563630637	0.0192107980195243	gtex	thyroid
41	SRR613711_Thyroid	-0.0275110858541957	-0.0207641179893697	0.0320679475521551	0.0228338699688252	gtex	thyroid
42	SRR614023_Thyroid	-0.0276034066667764	-0.0167636918597882	0.0291107802128267	0.0194836805104814	gtex	thyroid
43	SRR614107_Thyroid	-0.0275689154672982	-0.0187515283163587	0.023129719353448	0.0111636867194854	gtex	thyroid
44	SRR614275_Thyroid	-0.0276454724436974	-0.0145150754260072	0.023145642578793	0.0153287054029881	gtex	thyroid
45	SRR615347_Thyroid	-0.0275445906047527	-0.0195779580076602	0.0323453907351619	0.0186889330204897	gtex	thyroid
46	SRR614743_Thyroid	-0.0276906438232991	-0.0171453343976576	0.0223189359014313	0.015331522458648	gtex	thyroid
