names	tissues	correlation	ontology	similarity.measure	expr.distance	status	Batch
1	SRR598068_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
2	SRR597952_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
3	SRR598100_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
4	SRR598364_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
5	SRR598565_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
6	SRR598645_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
7	SRR599346_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
8	SRR599412_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
9	SRR599122_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
10	SRR602389_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
11	SRR601157_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
12	SRR601962_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
13	SRR601359_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
14	SRR608064_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
15	SRR607679_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
16	SRR601525_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
17	SRR601549_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
18	SRR601843_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
19	SRR607705_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
20	SRR602338_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
21	SRR608120_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
22	SRR602951_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
23	SRR602978_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
24	SRR603036_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
25	SRR603726_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
26	SRR603834_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
27	SRR604148_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
28	SRR604294_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
29	SRR604342_Thyroid	Thyroid	0.430557299640938	Cosine	Spearman	Spearman	Original	GTEX
30	SRR603268_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
31	SRR603942_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
32	SRR608512_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
33	SRR607502_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
34	SRR613402_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
35	SRR614912_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
36	SRR613018_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
37	SRR613258_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
38	SRR613795_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
39	SRR615285_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
40	SRR613975_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
41	SRR613711_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
42	SRR614023_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
43	SRR614107_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
44	SRR614275_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
45	SRR615347_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
46	SRR614743_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
47	SRR615886_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
48	SRR615491_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
49	SRR654754_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
50	SRR655696_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
51	SRR654969_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
52	SRR655076_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
53	SRR658009_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
54	SRR655780_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
55	SRR655495_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
56	SRR656035_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
57	SRR657821_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
58	SRR657809_Prostate	Prostate	0.463398256096632	Cosine	Spearman	Spearman	Original	GTEX
59	SRR655277_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
60	SRR656191_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
61	SRR658021_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
62	SRR658117_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
63	SRR656469_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
64	SRR656528_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
65	SRR656373_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
66	SRR657101_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
67	SRR657360_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
68	SRR657372_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
69	SRR657420_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
70	SRR657845_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
71	SRR658573_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
72	SRR659649_Liver	Liver	-0.116238830672994	Cosine	Spearman	Spearman	Original	GTEX
73	SRR659744_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
74	SRR659578_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
75	SRR659133_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
76	SRR659923_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
77	SRR659947_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
78	SRR659851_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
79	SRR659259_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
80	SRR660079_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
81	SRR660212_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
82	SRR660236_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
83	SRR660438_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
84	SRR665646_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
85	SRR665490_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
86	SRR661052_Prostate	Prostate	0.463398256096632	Cosine	Spearman	Spearman	Original	GTEX
87	SRR663368_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
88	SRR663380_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
89	SRR663392_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
90	SRR661409_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
91	SRR661493_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
92	SRR661711_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
93	SRR661794_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
94	SRR663149_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
95	SRR662510_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
96	SRR663795_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
97	SRR807751_Colon_Transverse	Colon	0.428294454385301	Cosine	Spearman	Spearman	Original	GTEX
98	SRR807799_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
99	SRR807971_Liver	Liver	-0.116238830672994	Cosine	Spearman	Spearman	Original	GTEX
100	SRR807995_Liver	Liver	-0.116238830672994	Cosine	Spearman	Spearman	Original	GTEX
101	SRR808638_Colon_Transverse	Colon	0.683014301490508	Cosine	Spearman	Spearman	Original	GTEX
102	SRR808658_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
103	SRR808886_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
104	SRR809043_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
105	SRR809503_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
106	SRR809565_Colon_Transverse	Colon	0.428294454385301	Cosine	Spearman	Spearman	Original	GTEX
107	SRR809943_Kidney_Cortex	Kidney	0.637338578026545	Cosine	Spearman	Spearman	Original	GTEX
108	SRR810007_Kidney_Cortex	Kidney	0.637338578026545	Cosine	Spearman	Spearman	Original	GTEX
109	SRR810153_Colon_Transverse	Colon	0.428294454385301	Cosine	Spearman	Spearman	Original	GTEX
110	SRR810343_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
111	SRR810805_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
112	SRR812270_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
113	SRR812697_Colon_Transverse	Colon	0.428294454385301	Cosine	Spearman	Spearman	Original	GTEX
114	SRR812721_Colon_Transverse	Colon	0.428294454385301	Cosine	Spearman	Spearman	Original	GTEX
115	SRR813108_Prostate	Prostate	0.463398256096632	Cosine	Spearman	Spearman	Original	GTEX
116	SRR813529_Colon_Transverse	Colon	0.683014301490508	Cosine	Spearman	Spearman	Original	GTEX
117	SRR813848_Thyroid	Thyroid	0.430557299640938	Cosine	Spearman	Spearman	Original	GTEX
118	SRR814108_Colon_Transverse	Colon	0.683014301490508	Cosine	Spearman	Spearman	Original	GTEX
119	SRR814919_Thyroid	Thyroid	0.821948537042658	Cosine	Spearman	Spearman	Original	GTEX
120	SRR815140_Liver	Liver	-0.116238830672994	Cosine	Spearman	Spearman	Original	GTEX
121	SRR815280_Prostate	Prostate	0.463398256096632	Cosine	Spearman	Spearman	Original	GTEX
122	SRR815542_Prostate	Prostate	0.463398256096632	Cosine	Spearman	Spearman	Original	GTEX
123	SRR815711_Liver	Liver	-0.116238830672994	Cosine	Spearman	Spearman	Original	GTEX
