names	tissues	correlation	ontology	similarity.measure	expr.distance	status
1	SRR598068_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
2	SRR597952_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
3	SRR598100_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
4	SRR598364_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
5	SRR598565_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
6	SRR598645_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
7	SRR599346_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
8	SRR599412_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
9	SRR599122_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
10	SRR602389_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
11	SRR601157_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
12	SRR601962_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
13	SRR601359_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
14	SRR608064_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
15	SRR607679_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
16	SRR601525_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
17	SRR601549_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
18	SRR601843_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
19	SRR607705_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
20	SRR602338_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
21	SRR608120_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
22	SRR602951_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
23	SRR602978_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
24	SRR603036_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
25	SRR603726_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
26	SRR603834_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
27	SRR604148_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
28	SRR604294_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
