names	tissues	correlation	ontology	similarity.measure	expr.distance	status
SRR598068_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR597952_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR598100_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR598364_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR598565_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR598645_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR599346_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR599412_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR599122_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR602389_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR601157_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR601962_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR601359_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR608064_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR607679_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR601525_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR601549_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR601843_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR607705_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR602338_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR608120_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR602951_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR602978_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR603036_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR603726_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR603834_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR604148_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR604294_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR604342_Thyroid	Thyroid	0.715563866125199	Cosine	Spearman	Spearman	Original
SRR603268_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR603942_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR608512_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR607502_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR613402_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR614912_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR613018_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR613258_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR613795_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR615285_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR613975_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR613711_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR614023_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR614107_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR614275_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR615347_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR614743_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR615886_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR615491_Thyroid	Thyroid	0.830348044962321	Cosine	Spearman	Spearman	Original
SRR654754_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR655696_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR654969_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR655076_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR658009_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR655780_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR655495_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR656035_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657821_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657809_Prostate	Prostate	0.0390872627412995	Cosine	Spearman	Spearman	Original
SRR655277_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR656191_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR658021_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR658117_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR656469_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR656528_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR656373_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657101_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657360_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657372_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657420_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR657845_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR658573_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR659649_Liver	Liver	0.0691509716231457	Cosine	Spearman	Spearman	Original
SRR659744_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR659578_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR659133_Thyroid	Thyroid	0.830348044962321	Cosine	Spearman	Spearman	Original
SRR659923_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR659947_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR659851_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR659259_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR660079_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
SRR660212_Thyroid	Thyroid	0.941927500651504	Cosine	Spearman	Spearman	Original
