Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
1	SRR598068_Thyroid	-0.0277100187703499	-0.0173073573926286	0.0298806956557485	0.00385982080886393	gtex	Thyroid	Thyroid	thyroid	Normal	2.7187062562335
2	SRR597952_Thyroid	-0.0276240036954056	-0.0207461982651143	0.0330779153350051	0.00594230081607287	gtex	Thyroid	Thyroid	thyroid	Normal	1.14552836347993
3	SRR598100_Thyroid	-0.0278029260044381	-0.0180109329264974	0.0268790017237083	0.00500442213467922	gtex	Thyroid	Thyroid	thyroid	Normal	1.35512480508227
4	SRR598364_Thyroid	-0.0277822552084099	-0.0179790734173799	0.0280498096884598	-0.000222623384979997	gtex	Thyroid	Thyroid	thyroid	Normal	2.39085064722113
5	SRR598565_Thyroid	-0.0278495907711384	-0.0176174849132389	0.0259537396972358	0.00357120317104077	gtex	Thyroid	Thyroid	thyroid	Normal	1.52103209162938
6	SRR598645_Thyroid	-0.0276365317123186	-0.0192585577361122	0.0284612397429415	0.00922971972345757	gtex	Thyroid	Thyroid	thyroid	Normal	1.2712380979202
7	SRR599346_Thyroid	-0.0277360031923955	-0.0187234271783388	0.0284993943207752	0.000844286569710362	gtex	Thyroid	Thyroid	thyroid	Normal	1.74208409188604
8	SRR599412_Thyroid	-0.027680710321427	-0.0199778296671155	0.0303903982857083	0.00503416682747881	gtex	Thyroid	Thyroid	thyroid	Normal	1.65706921669484
9	SRR599122_Thyroid	-0.0275342222422703	-0.0176448666057092	0.0322864828581078	0.00844309463465082	gtex	Thyroid	Thyroid	thyroid	Normal	1.24525631146851
10	SRR602389_Thyroid	-0.027743551765194	-0.0188685330131358	0.0295258791396148	0.00635477001695942	gtex	Thyroid	Thyroid	thyroid	Normal	1.02833430919934
11	SRR601157_Thyroid	-0.027708073887447	-0.0195479087582782	0.0270188709263669	0.00935245388732867	gtex	Thyroid	Thyroid	thyroid	Normal	0.8520108495268
12	SRR601962_Thyroid	-0.0277344406749763	-0.0190376331387065	0.0303820755235043	0.0074187818999253	gtex	Thyroid	Thyroid	thyroid	Normal	1.29798908141351
13	SRR601359_Thyroid	-0.0277385000490188	-0.0195300467788217	0.0269001942656023	0.00801608528782512	gtex	Thyroid	Thyroid	thyroid	Normal	1.55355424711394
14	SRR608064_Thyroid	-0.0276094435113964	-0.0189367405351187	0.0247802505323509	0.0112946879300854	gtex	Thyroid	Thyroid	thyroid	Normal	0.571810884470776
15	SRR607679_Thyroid	-0.0277649836961372	-0.0210714584389895	0.0226143072681439	0.00699727693432046	gtex	Thyroid	Thyroid	thyroid	Normal	1.56450199843147
16	SRR601525_Thyroid	-0.0276334608772062	-0.020250825501989	0.0293720450192974	0.00181241816884062	gtex	Thyroid	Thyroid	thyroid	Normal	1.59883461774606
17	SRR601549_Thyroid	-0.0276389706156705	-0.0203384022822844	0.0304280738623472	0.00646981535029707	gtex	Thyroid	Thyroid	thyroid	Normal	1.87360416372834
18	SRR601843_Thyroid	-0.0277269183350047	-0.0200564148606792	0.0306649112071122	0.0053510134417745	gtex	Thyroid	Thyroid	thyroid	Normal	1.4410277357026
19	SRR607705_Thyroid	-0.027571991060344	-0.0169101760128739	0.0286659663165763	0.00753999829881651	gtex	Thyroid	Thyroid	thyroid	Normal	0.965413568167811
20	SRR602338_Thyroid	-0.0277154946008055	-0.0187861919150654	0.0291597358353407	0.00104661834857074	gtex	Thyroid	Thyroid	thyroid	Normal	1.42740796775419
21	SRR608120_Thyroid	-0.0276804653463351	-0.0179969988460228	0.0300500664885721	0.000655989656893151	gtex	Thyroid	Thyroid	thyroid	Normal	1.0943351403923
22	SRR602951_Thyroid	-0.0276070390238146	-0.0170608067689358	0.0198192168113525	0.0150007886071738	gtex	Thyroid	Thyroid	thyroid	Normal	1.39447432466568
23	SRR602978_Thyroid	-0.0276564313535541	-0.0198268115476876	0.0316210200924675	0.00382513502688154	gtex	Thyroid	Thyroid	thyroid	Normal	1.5953358434613
24	SRR603036_Thyroid	-0.0273498440585852	-0.0171094217190448	0.0321444771899869	0.00116799200733288	gtex	Thyroid	Thyroid	thyroid	Normal	1.86035191756293
25	SRR603726_Thyroid	-0.027709837906147	-0.0186829267035822	0.0277809799198995	0.00847083084902304	gtex	Thyroid	Thyroid	thyroid	Normal	1.20763882507214
26	SRR603834_Thyroid	-0.0276066122704686	-0.0212983564274016	0.0299009765316294	0.012145545583063	gtex	Thyroid	Thyroid	thyroid	Normal	1.55646056020862
27	SRR604148_Thyroid	-0.0277468459551607	-0.0188761172631119	0.0295208238200907	0.00389002739328094	gtex	Thyroid	Thyroid	thyroid	Normal	1.52557769922235
28	SRR604294_Thyroid	-0.0277827080629421	-0.01967836396746	0.0265703062264668	0.0048975077128075	gtex	Thyroid	Thyroid	thyroid	Normal	1.27271639077606
