Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
1	SRR598068_Thyroid	0.0339836531960055	-0.0225704266748374	0.0132247215069666	0.0129084257591581	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.7187062562335
2	SRR597952_Thyroid	0.0408737443460983	-0.0192948278168329	0.011139081663309	0.0210799575651684	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.14552836347993
3	SRR598100_Thyroid	0.0359486463435355	-0.0212117465205028	0.0161782943036169	0.0177017804623336	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.35512480508227
4	SRR598364_Thyroid	0.0313191984947714	-0.01784147729311	0.0145677338443255	0.0155770814216299	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.39085064722113
5	SRR598565_Thyroid	0.0340349654457234	-0.0164896480264279	0.0116273048348467	0.0162740428358831	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.52103209162938
6	SRR598645_Thyroid	0.0373610286195823	-0.0142741028486916	0.0202732285760374	0.0143028375172739	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.2712380979202
7	SRR599346_Thyroid	0.0337356540331774	-0.0151849733140871	0.0186819565543441	0.0205711508093163	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.74208409188604
8	SRR599412_Thyroid	0.0361468583239662	-0.0196998142182661	0.0143407785222778	0.0160937070209092	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.65706921669484
9	SRR599122_Thyroid	0.0376136184799374	-0.0177887781946185	0.010920576622486	0.0172867792758925	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.24525631146851
10	SRR602389_Thyroid	0.0401145336880365	-0.0167467131075996	0.0149381896506383	0.0162325697313486	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.02833430919934
11	SRR601157_Thyroid	0.0378563358812667	-0.0201871319317938	0.0124722263997463	0.0166114940388	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.8520108495268
12	SRR601962_Thyroid	0.0417180512536989	-0.0142304504382665	0.0164642737955306	0.017052100803983	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.29798908141351
13	SRR601359_Thyroid	0.0365601344569541	-0.0218569043150235	0.0178093931174089	0.0121766684646937	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.55355424711394
14	SRR608064_Thyroid	0.0331440007778807	-0.0125256080744406	0.0181887701428178	0.00677373293701639	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.571810884470776
15	SRR607679_Thyroid	0.030953494167696	-0.0211834360513298	0.00308710815932075	0.0157658053326333	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.56450199843147
16	SRR601525_Thyroid	0.0314383672285959	-0.0171395716200333	0.0131628638751279	0.0160984176236711	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.59883461774606
17	SRR601549_Thyroid	0.0373588898048229	-0.0232756333590471	0.0129147729655579	0.0199026366043127	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.87360416372834
18	SRR601843_Thyroid	0.0405205745934019	-0.00966587857009425	0.0146955497892264	0.0159247497323705	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.4410277357026
19	SRR607705_Thyroid	0.0349191424740781	-0.0112592739455423	0.0117513983851149	0.020682432369777	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.965413568167811
20	SRR602338_Thyroid	0.0342337949105974	-0.018152272438859	0.0151156270741607	0.0221029927777522	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.42740796775419
21	SRR608120_Thyroid	0.0336910119741371	-0.0176178671345473	0.00873809198676437	0.019050119957909	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0943351403923
22	SRR602951_Thyroid	0.0278080424551847	-0.0211590269294943	0.0156928387453723	-0.00117627057384058	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.39447432466568
23	SRR602978_Thyroid	0.0375593883576983	-0.0190296521360385	0.0140390221426444	0.0180491858005948	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.5953358434613
24	SRR603036_Thyroid	0.0302432660119097	-0.0129780915217732	0.0155934055699266	0.0176348555540784	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.86035191756293
25	SRR603726_Thyroid	0.0381570527646283	-0.014012268158436	0.0184916939786061	0.0185109854179265	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.20763882507214
26	SRR603834_Thyroid	0.0390218866775801	-0.0255868641926006	0.016955754172485	0.00727217603445768	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.55646056020862
27	SRR604148_Thyroid	0.0353249617795589	-0.0316529724277989	0.0106249520007503	0.0173843449882387	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.52557769922235
28	SRR604294_Thyroid	0.0362537865285915	-0.0186356326749551	0.0167614107427502	0.0178565418757085	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.27271639077606
29	SRR604342_Thyroid	0.00544792383231599	-0.00597843720002089	0.00633626173297524	-0.0100633580166806	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.15288351726486
30	SRR603268_Thyroid	0.0372777384734726	-0.0246079892034264	0.0102892490229628	0.0176365887890419	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.19572231199233
31	SRR603942_Thyroid	0.026705885734537	5.54984314526941e-06	0.0187628846395791	0.0120966013541804	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.37968252066401
32	SRR608512_Thyroid	0.0311365453181781	-0.00562094316169079	0.0144700598807941	0.0138421607245376	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.30616066473478
33	SRR607502_Thyroid	0.0367512321295782	-0.0216251137830439	0.0182089944721166	0.0106517107264262	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.47830179883812
34	SRR613402_Thyroid	0.0358850446400566	-0.0226425879353009	0.00364061753145996	0.0214461477486064	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.04835948544875
35	SRR614912_Thyroid	0.0373108850013884	-0.0142617799313906	0.00659042408223075	0.0228517357789945	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.11523748394368
36	SRR613018_Thyroid	0.0343057040320943	-0.00415689991016448	0.00641008636268327	0.0111575149490515	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.122779498658644
37	SRR613258_Thyroid	0.041129295995756	-0.0190114019424327	0.00475273665974105	0.0307017374420792	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.953771273914099
38	SRR613795_Thyroid	0.0398790011104543	-0.0172525126173051	0.00841056329582745	0.0264311184674543	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.14911696276146
39	SRR615285_Thyroid	0.0371400098468791	-0.0165231514332339	0.0136112645066181	0.0145374032054946	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.04350070355855
