Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
1	SRR598068_Thyroid	-0.0271780162739734	-0.0156899461908279	-0.0333766421335441	-0.021548709080696	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.7187062562335
2	SRR597952_Thyroid	-0.0272556113567948	-0.0110956491190577	-0.0298018166330799	-0.0254727268353287	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.14552836347993
3	SRR598100_Thyroid	-0.0271798925373697	-0.0171755237822278	-0.0350894574945819	-0.0232525571254849	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.35512480508227
4	SRR598364_Thyroid	-0.0272001680204459	-0.0148242473419816	-0.0316743679363202	-0.0228269920838007	GTEx	Thyroid	Thyroid	Thyroid	Normal	2.39085064722113
5	SRR598565_Thyroid	-0.027242716443018	-0.0131040880870885	-0.0311149427715102	-0.0237984695662547	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.52103209162938
6	SRR598645_Thyroid	-0.0271428741458658	-0.0168510366132373	-0.0356978241240437	-0.0226135371246903	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.2712380979202
7	SRR599346_Thyroid	-0.0271883609828401	-0.0185322449636548	-0.031247625966419	-0.0227233545058248	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.74208409188604
8	SRR599412_Thyroid	-0.0272188769893759	-0.0157730107004655	-0.0323553042902382	-0.0234148412328895	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.65706921669484
9	SRR599122_Thyroid	-0.0271772375638161	-0.0157414318229685	-0.0321066953307864	-0.0230862177940117	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.24525631146851
10	SRR602389_Thyroid	-0.0272206147230975	-0.0148018770338238	-0.0321565715294054	-0.027205656797449	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.02833430919934
11	SRR601157_Thyroid	-0.0272296320917005	-0.0153828045801068	-0.0326173562090712	-0.0222127490796083	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.8520108495268
12	SRR601962_Thyroid	-0.0272412243558803	-0.0141128167124979	-0.0317751855989304	-0.0237915561071217	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.29798908141351
13	SRR601359_Thyroid	-0.0272069277740099	-0.0173494298906628	-0.0316760041373065	-0.0230063209764102	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.55355424711394
14	SRR608064_Thyroid	-0.0272460427209472	-0.0133596908265501	-0.0313296028579494	-0.0247654990817552	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.571810884470776
15	SRR607679_Thyroid	-0.0272135083954252	-0.0132193754930281	-0.0292955720649801	-0.0240513332196998	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.56450199843147
16	SRR601525_Thyroid	-0.0272096646279005	-0.0170819678811111	-0.0286554163011094	-0.0208169363965372	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.59883461774606
17	SRR601549_Thyroid	-0.0271928511160192	-0.0156276851714183	-0.0329113967382412	-0.0251357732202509	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.87360416372834
18	SRR601843_Thyroid	-0.0272306631627033	-0.0128096440154636	-0.0324769019838361	-0.0233101947023675	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.4410277357026
19	SRR607705_Thyroid	-0.0272098065583708	-0.0157150972431798	-0.0328048490525423	-0.0215875332423962	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.965413568167811
20	SRR602338_Thyroid	-0.0272586554988236	-0.0138342140263596	-0.02804967378314	-0.0198218888728493	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.42740796775419
21	SRR608120_Thyroid	-0.0272629884169846	-0.0142229845340308	-0.0271929888310618	-0.0210486438590157	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0943351403923
22	SRR602951_Thyroid	-0.0272143591099754	-0.0151956443816654	-0.0268629179957207	-0.019883904850503	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.39447432466568
23	SRR602978_Thyroid	-0.0271742789274326	-0.0172408841593031	-0.031231535671998	-0.0227798188467436	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.5953358434613
24	SRR603036_Thyroid	-0.0271018949781748	-0.0177126712854669	-0.024045303534377	-0.0216489070560392	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.86035191756293
25	SRR603726_Thyroid	-0.0272206076945103	-0.0123938599670419	-0.0333235878140546	-0.0234192949657747	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.20763882507214
26	SRR603834_Thyroid	-0.0272304809535054	-0.0133967200658668	-0.0297789805944615	-0.025197236891998	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.55646056020862
27	SRR604148_Thyroid	-0.027223402193308	-0.0141242526990406	-0.0311025659151926	-0.0226166280369226	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.52557769922235
28	SRR604294_Thyroid	-0.0272326881892807	-0.0152450277046676	-0.0327840080878168	-0.0236594727842821	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.27271639077606
29	SRR604342_Thyroid	-0.0271927758368736	-0.0129588630359207	-0.0215066262234344	-0.0163409209796497	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.15288351726486
30	SRR603268_Thyroid	-0.0272395075178538	-0.0151506860475208	-0.0322719462460288	-0.0227309385001744	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.19572231199233
31	SRR603942_Thyroid	-0.0272146307602591	-0.0142653162480714	-0.0308681019454289	-0.0227746514904107	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.37968252066401
32	SRR608512_Thyroid	-0.0272059711089568	-0.0139619653565245	-0.0308901101048417	-0.0226770057647151	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.30616066473478
33	SRR607502_Thyroid	-0.0272223778501766	-0.0148147679554183	-0.0307667467884371	-0.020623581716395	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.47830179883812
34	SRR613402_Thyroid	-0.027249907247153	-0.0153593398338334	-0.0247332388242839	-0.0229859506181904	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.04835948544875
35	SRR614912_Thyroid	-0.0271858216273211	-0.0162870006488629	-0.0312907603100819	-0.0242935150988747	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.11523748394368
36	SRR613018_Thyroid	-0.0272729170245283	-0.0128126732369101	-0.0274269535221871	-0.021690199354534	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.122779498658644
37	SRR613258_Thyroid	-0.0272286158134789	-0.0131317964056133	-0.0307605675158428	-0.0266202526089698	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.953771273914099
38	SRR613795_Thyroid	-0.0272492467875334	-0.0138012487311563	-0.0266308318319649	-0.0199356265511724	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.14911696276146
39	SRR615285_Thyroid	-0.0272074408723469	-0.0136155241074114	-0.0264315586399957	-0.020333073152118	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.04350070355855
40	SRR613975_Thyroid	-0.0272617695354894	-0.0134923937235857	-0.0279513704370956	-0.0215977827411015	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.762974495332694
41	SRR613711_Thyroid	-0.0272488161435463	-0.014276211326822	-0.0277489202538178	-0.0218892459687188	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.44461089934238
42	SRR614023_Thyroid	-0.0272292899028196	-0.0151236443486105	-0.0297539736821692	-0.0214491994391779	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.542394169296242
43	SRR614107_Thyroid	-0.0271218082369673	-0.0162695466812376	-0.0281035493063699	-0.0193673428600278	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.11244252471964
44	SRR614275_Thyroid	-0.0272420486518611	-0.0129894428232447	-0.027562003061562	-0.0200156321465091	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.605716188944528
45	SRR615347_Thyroid	-0.0272070630149286	-0.0118729708421673	-0.0283139653685532	-0.0250844352064302	GTEx	Thyroid	Thyroid	Thyroid	Normal	1.0828725936963
46	SRR614743_Thyroid	-0.0272377281472925	-0.0146276015641312	-0.0318252463033276	-0.0226024102312207	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.726170227244713
47	SRR615886_Thyroid	-0.0272265551644225	-0.0136977851161378	-0.0276526251745414	-0.0243548041579389	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.954074112444865
48	SRR615491_Thyroid	-0.0272663082140608	-0.0146036159392978	-0.0304213069767792	-0.021684920823582	GTEx	Thyroid	Thyroid	Thyroid	Normal	0.391451988509658
